English,Japanese
am,午前
about,について、に関する
activity,活動
actor,俳優
after,～のあとに
afternoon,午後
again,もう一度、再び、また
against,に対抗して、反対して
age,年齢
all,全部、全員、全て、みな
along,に沿って
also,もまた
also,さらに
always,いつも
am,です、ます
am,にいる、ある
an,1つの、1人の
and,それと
and,そして、それから
and so on,など
animal,動物
another,ほかの、別の
apple,りんご
April,４月
apron,エプロン、前かけ
are,です、ます
are,にいる、ある
area,区域、場所、地域
around,の近くに
around,のまわりを回って
around,のあちこちに
around,あちこち、めぐって
art,美術
as,として
at,【場所】に、で
at,【時刻・年齢】に
at,【方向】をめがけて、に向かって
ate,食べた（過去形）
August,8月
autumn,秋
away,はなれて、去って
back,戻って、返して
bad,悪い
That's too bad,それはいけませんね。
bag,かばん
baseball,野球
bath,入浴
be,である、になる
beach,浜、海辺
bean,豆
bear,クマ
beautiful,美しい
become,になる
bed,ベッド
before,の前に
behind,の後ろに
best,最も良い
do one's best,最善をつくす
bicycle,自転車
big,大きい
bike,自転車
bird,鳥
birthday,誕生日
black,黒い
blue,青い
body,身体
book,本
bookstore,本屋
borrow,を借りる
bought,買った（過去形）
box,箱
boy,少年
bread,パン
breakfast,朝食
brother,兄弟
brown,茶色
brush,をみがく
build,を建てる
busy,忙しい
but,しかし、けれども
buy,を買う
by,【手段・方法・原因】によって
by,【場所】のそばに
cake,ケーキ
came,来た（過去形）
can,【能力・可能】することができる
cannot,できない
cap,帽子
car,自動車
care,世話
take care of,を大事にする
careful,注意深い
cat,猫
chair,いす
chicken,鶏肉
child,子供
children,子供たち
choose,を選ぶ
city,市、都会、都会
classmate,同級生
classroom,教室
clean,きれいな、清潔な
clean,きれいにする
climb,を登る
clothes,服
cloudy,曇った
cold,冷たい、寒い
collect,を集める
come,来る
cook,料理する
cool,かっこいい
could,できた
country,国
of course,もちろん
cousin,いとこ
cow,ウシ
cup,カップ
cute,かわいい
date,日、日付
day,日、１日
dear,親愛なる
December,12月
delicious,おいしい
desk,机
dictionary,辞書
different,色々な、違った
difficult,難しい
dinner,夕食
dish,皿、料理
do,をする、行う
doctor,医者
dog,イヌ
door,戸
down,下に
down,に沿って
drama,劇
draw,描く、引く
dream,夢
drink,を飲む
drop,を落とす
drum,太鼓、ドラム
during,～の間
each,それぞれの、各自の
each other,お互いに
ear,耳
early,早く
early,早い
easily,簡単に
eat,を食べる、食事をする
egg,卵
eight,8
eighteen,18
eighth,8番目
eighty,80
elementary school,小学校
eleven,11
eleventh,11番目
end,最後
English,英語
enjoy,を楽しむ
evening,夕方
event,行事
every,毎、ごとに
everyone,みんな
excited,わくわくした
exciting,興奮させる
excuse,を許す
eye,目、視力
face,顔
fall,転ぶ、転倒する
fall,秋
fall down,倒れる
family,家族
famous,有名な
farmer,農場主
fast,速い
father,父
favorite,好きな、お気に入りの
February,2月
feel,と感じる
felt,感じた
festival,祭り
fever,熱
fifteen,15
fifth,5番目
fifty,50
fine,元気な
first,1番め、最初
fish,魚
five,5
flower,花
food,食べ物
for,として
foreign,外国の
forget,を忘れる
forty,40
forward,前方へ
look forward to ...,を楽しみに待つ
four,4
fourteen,14
fourth,4番目
free,ひまな
Friday,金曜日
friend,友達
frog,カエル
from,【時間】から
from,【場所】から
front,前、正面
fruit,果物
fun,楽しい
funny,おかしな
future,未来
garbage,ゴミ
gave,与えた
get,を得る
get,になる
get,着く、到着する
girl,少女
give,を与える、渡す
go,行く
good,良い
good,元気な
got,得た
grandfather,祖父
grandmother,祖母
grape,ブドウ
great,すばらしい
green,緑
guess,を推測する
had,持った
hair,髪
half,半分、2分の1
hall,会館、ホール
hand,手
happy,幸せな、うれしい、楽しい
hard,熱心に、一生懸命に
hard,かたい
hat,帽子
have,を持っている
have,を食べる、飲む
have,を開催する
he,彼は
head,頭
headache,頭痛
heart,心
help,を手伝う、助ける
here,ここに
hers,彼女のもの
him,彼を
his,彼の
his,彼のもの
history,歴史
homework,宿題
hope,を望む
horse,馬
hospital,病院
hot,暑い
hour,1時間
house,家、住宅
how,どんな
hundred,百
hungry,空腹の、飢えた
I,私は[が]
ice,氷
idea,考え
important,重要な、大切な
in,中に
information,情報
interested in,興味をもっている
interesting,興味深い
is,です、ます
is,にいる、ある
island,島
it,それを
it,それは
its,それの、その
January,1月
Japan,日本
Japanese,日本の
Japanese,日本語、日本人
job,仕事
join,に参加する
July,7月
jump,跳ぶ
June,6月
junior,年下の
junior high school,中学校
just,ちょうど、まさに
kind,親切な
king,王様
knee,ひざ
know,を知っている
lake,湖
language,言葉
large,大きい、広い
last,この前の
later,～の後で
leave,去る
left,左
leg,脚
let's,～しよう
library,図書館
life,生活
life,生命
light,光
like,を好む
like,のような
line,列、並び
listen,聞く
a little,少し
live,住む
local,地方の、地元の
lonely,さびしい
long,長い
look,見る
look,に見える
lose,負ける
lost,負けた
luck,運、幸運
lunch,昼食
made,作った（過去形）
make,を作る
man,男性、男の人
many,たくさんの
map,地図
March,3月
market,市場
math,数学
May,5月
maybe,たぶん、もしかすると
me,私に
me,私を
mean,を意味する
meet,と会う
memory,記憶
mine,私のもの
minute,分
miss,さびしく思う
moment,瞬間
Monday,月曜日
money,お金
monkey,サル
month,月、１か月
morning,朝
mother,母
mountain,山
mouse,ネズミ、ハツカネズミ
mouth,口
movie,映画
much,[動詞を修飾して]おおいに、たいへん
museum,博物館
music,音楽
musician,音楽家
my,私の
name,名前
national,国の、国家の
nature,自然
near,の近くで
need,を必要とする
need,困っている状態、貧困
new,新しい
newspaper,新聞
next-door,隣の家、隣の
nice,良い
night,夜
nine,9
nineteen,19
ninety,90
ninth,9番目
noon,正午
nose,鼻
not,でない
notebook,ノート
nothing,何もない
November,11月
number,数、数字
nurse,看護婦
October,10月
office,事務所
often,よく
old,古い
on,【場所】の上に
one,1
only,～だけ
open,を開ける
other,他の
our,私たちの
